Column1,Column2
Column1,Cột 1
"""Customer Provided Item"" cannot have Valuation Rate",“Mặt hàng do khách hàng cung cấp” không được có giá trị định giá
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",Không thể bỏ chọn “Là tài sản cố định” vì đã tồn tại bản ghi tài sản cho mặt hàng này
'Based On' and 'Group By' can not be same,“Dựa trên” và “Nhóm theo” không được giống nhau
'Days Since Last Order' must be greater than or equal to zero,“Số ngày kể từ đơn hàng cuối” phải lớn hơn hoặc bằng 0
'Entries' cannot be empty,“Bút toán” không được để trống
'From Date' is required,“Ngày bắt đầu” là bắt buộc
'From Date' must be after 'To Date',“Ngày bắt đầu” phải sau “Ngày kết thúc”
'Has Serial No' can not be 'Yes' for non-stock item,“Có số sê-ri” không thể là “Có” đối với mặt hàng không tồn kho
'Opening',“Số dư đầu kỳ”
'To Case No.' cannot be less than 'From Case No.',“Số hồ sơ đến” không được nhỏ hơn “Số hồ sơ từ”
'To Date' is required,“Ngày kết thúc” là bắt buộc
'Total',“Tổng cộng”
'Update Stock' can not be checked because items are not delivered via {0},Không thể chọn “Cập nhật tồn kho” vì mặt hàng không được giao qua {0}
'Update Stock' cannot be checked for fixed asset sale,Không thể chọn “Cập nhật tồn kho” cho việc bán tài sản cố định
1 exact match.,1 kết quả trùng khớp chính xác
90-Above,90 trở lên
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Đã tồn tại Nhóm khách hàng cùng tên, vui lòng đổi tên Khách hàng hoặc Nhóm khách hàng"
A Default Service Level Agreement already exists.,Đã tồn tại Thỏa thuận mức dịch vụ (SLA) mặc định
A Lead requires either a person's name or an organization's name,Khách hàng tiềm năng cần có tên cá nhân hoặc tên tổ chức
A customer with the same name already exists,Đã tồn tại khách hàng cùng tên
A question must have more than one options,Một câu hỏi phải có nhiều hơn một lựa chọn
A qustion must have at least one correct options,Một câu hỏi phải có ít nhất một lựa chọn đúng
A4,Khổ A4
API Endpoint,Điểm cuối API
API Key,Khóa API
Abbr can not be blank or space,Tên viết tắt không được để trống hoặc chỉ có khoảng trắng
Abbreviation already used for another company,Tên viết tắt đã được sử dụng cho công ty khác
Abbreviation cannot have more than 5 characters,Tên viết tắt không được dài quá 5 ký tự
Abbreviation is mandatory,Tên viết tắt là bắt buộc
About the Company,Về công ty
About your company,Giới thiệu về công ty của bạn
Above,Bên trên
Academic Term,Học kỳ
Academic Term: ,Học kỳ:
Academic Year,Năm học
Academic Year: ,Năm học:
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Tổng số lượng chấp nhận + từ chối phải bằng số lượng nhận cho mặt hàng {0}
Access Token,Mã truy cập
Accessable Value,Giá trị có thể truy cập
Account Number,Số tài khoản
Account Number {0} already used in account {1},Số tài khoản {0} đã được dùng cho tài khoản {1}
Account Pay Only,Chỉ chi trả từ tài khoản
Account Type,Loại tài khoản
Account Type for {0} must be {1},Loại tài khoản của {0} phải là {1}
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Số dư tài khoản đang ở bên Có, không được đặt “Số dư bắt buộc” là Nợ"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Số dư tài khoản đang ở bên Nợ, không được đặt “Số dư bắt buộc” là Có"
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Số tài khoản của tài khoản {0} không khả dụng. Vui lòng thiết lập đúng Hệ thống tài khoản
Account with child nodes cannot be converted to ledger,Không thể chuyển tài khoản có tài khoản con thành sổ cái
Account with child nodes cannot be set as ledger,Không thể đặt tài khoản có tài khoản con là sổ cái
Account with existing transaction can not be converted to group.,Không thể chuyển tài khoản có phát sinh giao dịch thành nhóm
Account with existing transaction can not be deleted,Không thể xóa tài khoản có phát sinh giao dịch
Account with existing transaction cannot be converted to ledger,Không thể chuyển tài khoản có phát sinh giao dịch thành sổ cái
Account {0} does not belong to company: {1},Tài khoản {0} không thuộc công ty {1}
Account {0} does not belongs to company {1},Tài khoản {0} không thuộc công ty {1}
Account {0} does not exist,Tài khoản {0} không tồn tại
Account {0} does not exists,Tài khoản {0} không tồn tại
Account {0} does not match with Company {1} in Mode of Account: {2},Tài khoản {0} không khớp với Công ty {1} trong Hình thức tài khoản {2}
Account {0} has been entered multiple times,Tài khoản {0} được nhập nhiều lần
Account {0} is added in the child company {1},Tài khoản {0} đã được thêm vào công ty con {1}
Account {0} is frozen,Tài khoản {0} đang bị khóa
Account {0} is invalid. Account Currency must be {1},Tài khoản {0} không hợp lệ. Tiền tệ tài khoản phải là {1}
Account {0}: Parent account {1} can not be a ledger,Tài khoản {0}: tài khoản cha {1} không thể là sổ cái
Account {0}: Parent account {1} does not belong to company: {2},Tài khoản {0}: tài khoản cha {1} không thuộc công ty {2}
Account {0}: Parent account {1} does not exist,Tài khoản {0}: tài khoản cha {1} không tồn tại
Account {0}: You can not assign itself as parent account,Tài khoản {0}: không thể tự gán chính nó làm tài khoản cha
Account: {0} can only be updated via Stock Transactions,Tài khoản {0} chỉ có thể được cập nhật qua giao dịch kho
Account: {0} with currency: {1} can not be selected,Không thể chọn tài khoản {0} với tiền tệ {1}
Accountant,Kế toán
Accounting,Kế toán
Accounting Entry for Asset,Bút toán kế toán cho tài sản
Accounting Entry for Stock,Bút toán kế toán cho kho
Accounting Entry for {0}: {1} can only be made in currency: {2},Bút toán kế toán cho {0}: {1} chỉ có thể được thực hiện bằng tiền tệ {2}
Accounting Ledger,Sổ cái kế toán
Accounting journal entries.,Các bút toán nhật ký kế toán
Accounts,Kế toán
Accounts Manager,Quản lý kế toán
Accounts Payable,Phải trả
Accounts Payable Summary,Tổng hợp công nợ phải trả
Accounts Receivable,Phải thu
Accounts Receivable Summary,Tổng hợp công nợ phải thu
Accounts User,Người dùng kế toán
Accounts table cannot be blank.,Bảng tài khoản không được để trống
Accumulated Depreciation,Khấu hao lũy kế
Accumulated Depreciation Amount,Giá trị khấu hao lũy kế
Accumulated Depreciation as on,Khấu hao lũy kế đến ngày
Accumulated Monthly,Lũy kế hàng tháng
Accumulated Values,Giá trị lũy kế
Accumulated Values in Group Company,Giá trị lũy kế trong công ty nhóm
Achieved ({}),Đạt được ({})
Action,Hành động
Action Initialised,Hành động đã được khởi tạo
Actions,Các hành động
Active,Đang hoạt động
Activity Cost exists for Employee {0} against Activity Type - {1},Đã tồn tại chi phí hoạt động cho Nhân viên {0} theo Loại hoạt động {1}
Activity Cost per Employee,Chi phí hoạt động theo nhân viên
Activity Type,Loại hoạt động
Actual Cost,Chi phí thực tế
Actual Delivery Date,Ngày giao hàng thực tế
Actual Qty,Số lượng thực tế
Actual Qty is mandatory,Số lượng thực tế là bắt buộc
Actual Qty {0} / Waiting Qty {1},Số lượng thực tế {0} / Số lượng chờ {1}
Actual Qty: Quantity available in the warehouse.,Số lượng thực tế: số lượng có sẵn trong kho
Actual qty in stock,Số lượng thực tế trong tồn kho
Actual type tax cannot be included in Item rate in row {0},Thuế loại “Actual” không thể được cộng vào giá mặt hàng tại dòng {0}
Add,Thêm
Add / Edit Prices,Thêm / Chỉnh sửa giá
Add Customers,Thêm khách hàng
Add Employees,Thêm nhân viên
Add Item,Thêm mặt hàng
Add Items,Thêm các mặt hàng
Add Leads,Thêm khách hàng tiềm năng
Add Multiple Tasks,Thêm nhiều công việc
Add Sales Partners,Thêm đối tác bán hàng
Add Serial No,Thêm số sê-ri
Add Students,Thêm học viên
Add Suppliers,Thêm nhà cung cấp
Add Time Slots,Thêm khung giờ
Add Timesheets,Thêm bảng chấm công
Add Timeslots,Thêm khung thời gian
